t,v_pre,v_post,i,i_fast,i_slow
180,-0.501037,-1.38585,-0.687932,-0.00326665,-0.684665
180.6,-0.482532,-1.38501,-0.688256,-0.00345175,-0.684804
181.2,-0.493038,-1.38419,-0.688275,-0.00334515,-0.68493
181.8,-0.472535,-1.38335,-0.688624,-0.0035558,-0.685069
182.4,-0.500037,-1.38253,-0.688482,-0.00327574,-0.685206
183,-0.482532,-1.38169,-0.68877,-0.00345105,-0.685319
183.6,-0.470027,-1.38084,-0.68904,-0.00358192,-0.685458
184.2,-0.496038,-1.38,-0.688907,-0.00331452,-0.685593
184.8,-0.474534,-1.37914,-0.689282,-0.00353376,-0.685748
185.4,-0.467028,-1.37827,-0.689518,-0.00361352,-0.685904
186,-0.45503,-1.3774,-0.689815,-0.00374483,-0.68607
186.6,-0.472535,-1.37653,-0.689795,-0.00355432,-0.686241
187.2,-0.477534,-1.37565,-0.68992,-0.00350157,-0.686419
187.8,-0.46452,-1.37477,-0.690221,-0.00363984,-0.686581
188.4,-0.468027,-1.37389,-0.690317,-0.0036018,-0.686716
189,-0.512051,-1.37303,-0.689991,-0.00315862,-0.686833
189.6,-0.472535,-1.37212,-0.690535,-0.00355336,-0.686982
190.2,-0.498529,-1.37124,-0.6904,-0.00328823,-0.687112
190.8,-0.475026,-1.37035,-0.690715,-0.0035267,-0.687188
191.4,-0.461521,-1.36945,-0.69095,-0.00367133,-0.687279
192,-0.495038,-1.36857,-0.69067,-0.0033221,-0.687348
192.6,-0.46652,-1.36765,-0.69109,-0.00361665,-0.687474
193.2,-0.482532,-1.36674,-0.69106,-0.0034479,-0.687612
193.8,-0.500545,-1.36586,-0.69094,-0.00326746,-0.687673
194.4,-0.510543,-1.36495,-0.690925,-0.0031713,-0.687754
195,-0.474534,-1.36402,-0.691384,-0.0035305,-0.687853
195.6,-0.49253,-1.3631,-0.691313,-0.00334591,-0.687967
196.2,-0.503544,-1.3622,-0.691265,-0.00323764,-0.688027
196.8,-0.503036,-1.36128,-0.691328,-0.00324236,-0.688086
197.4,-0.494038,-1.36035,-0.691491,-0.00333034,-0.68816
198,-0.504036,-1.35941,-0.691496,-0.00323234,-0.688263
198.6,-0.514542,-1.35848,-0.691473,-0.00313246,-0.688341
199.2,-0.485532,-1.35754,-0.69184,-0.0034153,-0.688425
199.8,-0.462029,-1.35657,-0.692193,-0.00366289,-0.68853
200.4,-0.471535,-1.35561,-0.692218,-0.00356037,-0.688658
