t,v_pre,v_post,i,i_fast,i_slow
10.8,-0.57507,-1.43567,-0.613588,-6.20991e-05,-0.613526
10.848,-0.565056,-1.43503,-0.613608,-6.45832e-05,-0.613544
10.896,-0.556058,-1.4344,-0.613632,-6.68996e-05,-0.613565
10.944,-0.560057,-1.43377,-0.61359,-6.58555e-05,-0.613525
10.992,-0.570071,-1.43314,-0.613578,-6.33164e-05,-0.613515
11.04,-0.568071,-1.43252,-0.613561,-6.38119e-05,-0.613498
11.088,-0.54306,-1.43189,-0.613613,-7.03845e-05,-0.613543
11.136,-0.54606,-1.43127,-0.613691,-6.95582e-05,-0.613621
11.184,-0.521049,-1.43064,-0.613745,-7.67226e-05,-0.613668
11.232,-0.517541,-1.43,-0.613913,-7.77814e-05,-0.613835
11.28,-0.511051,-1.42936,-0.614173,-7.97826e-05,-0.614093
11.328,-0.51305,-1.42871,-0.614417,-7.91556e-05,-0.614338
11.376,-0.511051,-1.42806,-0.61461,-7.97748e-05,-0.614531
11.424,-0.534046,-1.42741,-0.614749,-7.28925e-05,-0.614676
11.472,-0.51405,-1.42676,-0.614948,-7.88343e-05,-0.614869
11.52,-0.49553,-1.42609,-0.615219,-8.47684e-05,-0.615134
11.568,-0.507543,-1.42542,-0.615485,-8.08635e-05,-0.615404
11.616,-0.504036,-1.42475,-0.615738,-8.19793e-05,-0.615656
11.664,-0.504544,-1.42407,-0.61603,-8.18119e-05,-0.615948
11.712,-0.520049,-1.42339,-0.616213,-7.6982e-05,-0.616136
11.76,-0.524556,-1.42271,-0.616386,-7.56294e-05,-0.61631
11.808,-0.531555,-1.42202,-0.61656,-7.35783e-05,-0.616487
11.856,-0.52354,-1.42133,-0.616746,-7.59235e-05,-0.61667
11.904,-0.519541,-1.42064,-0.616943,-7.71195e-05,-0.616866
11.952,-0.562564,-1.41995,-0.617089,-6.51433e-05,-0.617024
12,-0.523048,-1.41925,-0.617246,-7.60582e-05,-0.61717
12.048,-0.558057,-1.41857,-0.617267,-6.6298e-05,-0.6172
12.096,-0.530555,-1.41787,-0.617395,-7.38442e-05,-0.617321
12.144,-0.562056,-1.41719,-0.617394,-6.52596e-05,-0.617329
12.192,-0.502545,-1.41649,-0.61756,-8.24089e-05,-0.617477
12.24,-0.517541,-1.41579,-0.617698,-7.76982e-05,-0.61762
12.288,-0.542552,-1.4151,-0.617746,-7.04358e-05,-0.617676
12.336,-0.548059,-1.41441,-0.617705,-6.89274e-05,-0.617636
12.384,-0.54506,-1.41372,-0.617782,-6.97393e-05,-0.617712
12.432,-0.577561,-1.41304,-0.617679,-6.13907e-05,-0.617618
12.48,-0.559057,-1.41236,-0.617698,-6.60077e-05,-0.617632
12.528,-0.577069,-1.41168,-0.617691,-6.15028e-05,-0.61763
12.576,-0.52354,-1.411,-0.617731,-7.58644e-05,-0.617655
12.624,-0.538553,-1.41031,-0.617797,-7.15233e-05,-0.617725
12.672,-0.530555,-1.40962,-0.617864,-7.37983e-05,-0.61779
12.72,-0.505544,-1.40893,-0.618017,-8.13989e-05,-0.617936
12.768,-0.517541,-1.40823,-0.618229,-7.7654e-05,-0.618151
12.816,-0.509035,-1.40753,-0.618359,-8.02837e-05,-0.618278
12.864,-0.49253,-1.40682,-0.618625,-8.56469e-05,-0.618539
12.912,-0.51605,-1.40611,-0.618785,-7.8097e-05,-0.618707
12.96,-0.503036,-1.4054,-0.619008,-8.21814e-05,-0.618926
13.008,-0.527047,-1.40468,-0.619144,-7.47925e-05,-0.619069
13.056,-0.49453,-1.40396,-0.619324,-8.49597e-05,-0.619239
13.104,-0.457521,-1.40322,-0.61966,-9.82229e-05,-0.619562
13.152,-0.503544,-1.40248,-0.619953,-8.19998e-05,-0.619871
13.2,-0.475026,-1.40172,-0.62029,-9.16969e-05,-0.620198
13.248,-0.487531,-1.40096,-0.620615,-8.73038e-05,-0.620528
13.296,-0.494038,-1.4002,-0.620929,-8.50995e-05,-0.620844
13.344,-0.484024,-1.39942,-0.621279,-8.85025e-05,-0.62119
13.392,-0.488531,-1.39864,-0.621566,-8.6947e-05,-0.621479
13.44,-0.480025,-1.39784,-0.621912,-8.98907e-05,-0.621822
