t,v_pre,v_post,i,i_fast,i_slow
16.8,-0.462029,-1.65792,0.443448,5.33468e-05,0.443394
16.848,-0.448523,-1.65779,0.443536,5.6271e-05,0.44348
16.896,-0.449015,-1.65766,0.443647,5.61623e-05,0.443591
16.944,-0.416006,-1.65754,0.443796,6.39858e-05,0.443732
16.992,-0.447016,-1.65742,0.443955,5.66088e-05,0.443899
17.04,-0.438018,-1.6573,0.444078,5.86578e-05,0.44402
17.088,-0.504544,-1.65717,0.444141,4.51006e-05,0.444096
17.136,-0.462029,-1.65705,0.444247,5.33503e-05,0.444194
17.184,-0.48604,-1.65692,0.444313,4.85223e-05,0.444265
17.232,-0.447524,-1.6568,0.444428,5.64979e-05,0.444371
17.28,-0.484024,-1.65667,0.444494,4.89113e-05,0.444445
17.328,-0.491531,-1.65654,0.444557,4.74825e-05,0.44451
17.376,-0.475026,-1.65641,0.444615,5.06824e-05,0.444564
17.424,-0.46452,-1.65628,0.444702,5.28309e-05,0.444649
17.472,-0.462029,-1.65615,0.444787,5.33539e-05,0.444734
17.52,-0.43651,-1.65602,0.444902,5.90141e-05,0.444843
17.568,-0.454522,-1.65589,0.445006,5.4961e-05,0.444951
17.616,-0.442508,-1.65577,0.445128,5.76331e-05,0.445071
17.664,-0.425004,-1.65564,0.445261,6.17602e-05,0.445199
17.712,-0.438018,-1.65551,0.445395,5.86659e-05,0.445336
17.76,-0.439509,-1.65539,0.44553,5.83218e-05,0.445471
17.808,-0.453014,-1.65526,0.44565,5.52921e-05,0.445595
17.856,-0.401009,-1.65514,0.44579,6.79035e-05,0.445722
17.904,-0.416514,-1.65501,0.445977,6.38698e-05,0.445913
17.952,-0.436018,-1.65489,0.446066,5.91339e-05,0.446007
18,-0.448523,-1.65477,0.446191,5.6284e-05,0.446135
18.048,-0.43651,-1.65464,0.446313,5.90203e-05,0.446254
18.096,-0.43351,-1.65452,0.446453,5.97244e-05,0.446393
18.144,-0.407008,-1.6544,0.446623,6.6317e-05,0.446556
18.192,-0.426004,-1.65428,0.446724,6.15232e-05,0.446662
18.24,-0.425512,-1.65416,0.446861,6.16433e-05,0.446799
18.288,-0.427512,-1.65403,0.446998,6.11589e-05,0.446937
18.336,-0.426512,-1.65391,0.447126,6.14015e-05,0.447064
18.384,-0.446016,-1.65379,0.447222,5.68486e-05,0.447165
18.432,-0.450523,-1.65367,0.447291,5.58458e-05,0.447235
18.48,-0.461029,-1.65354,0.44736,5.35758e-05,0.447306
18.528,-0.459521,-1.65341,0.447418,5.38964e-05,0.447364
18.576,-0.443016,-1.65329,0.447526,5.75284e-05,0.447469
18.624,-0.437018,-1.65316,0.447606,5.89086e-05,0.447547
18.672,-0.46552,-1.65303,0.447675,5.26356e-05,0.447623
18.72,-0.468027,-1.6529,0.44771,5.21173e-05,0.447658
18.768,-0.447016,-1.65277,0.447797,5.66289e-05,0.44774
18.816,-0.441017,-1.65264,0.44788,5.79875e-05,0.447822
18.864,-0.446016,-1.65251,0.447979,5.68541e-05,0.447922
18.912,-0.442508,-1.65239,0.44809,5.7648e-05,0.448032
18.96,-0.454014,-1.65225,0.448148,5.50868e-05,0.448093
19.008,-0.446524,-1.65212,0.448227,5.67418e-05,0.44817
19.056,-0.420005,-1.65199,0.448319,6.30095e-05,0.448256
19.104,-0.438509,-1.65186,0.448395,5.85683e-05,0.448336
19.152,-0.4075,-1.65173,0.448517,6.62018e-05,0.448451
19.2,-0.412007,-1.6516,0.448647,6.50342e-05,0.448582
19.248,-0.417514,-1.65147,0.448813,6.36352e-05,0.448749
19.296,-0.383996,-1.65135,0.449022,7.26448e-05,0.448949
19.344,-0.425512,-1.65123,0.449174,6.16571e-05,0.449112
19.392,-0.388504,-1.65111,0.449387,7.13641e-05,0.449315
19.44,-0.407008,-1.65099,0.449509,6.63343e-05,0.449443
19.488,-0.412007,-1.65087,0.449683,6.50378e-05,0.449618
19.536,-0.391503,-1.65075,0.449848,7.05255e-05,0.449777
